LOGS DE COMANDOS DEL BOT
========================
Fecha de inicio: 2025-12-01
Formato: [Fecha] 👤 Usuario | 🏠 Grupo | 💻 Comando

[1/12/2025, 18:07:12] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .menu 
[1/12/2025, 18:07:12] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .ping 
[1/12/2025, 18:07:12] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .menu 
[1/12/2025, 18:09:04] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .reload 
[1/12/2025, 18:11:00] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .menu 
[1/12/2025, 18:11:05] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .ping 
[1/12/2025, 18:12:03] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .menu 
[1/12/2025, 18:12:07] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .info 
[1/12/2025, 18:14:14] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .reload 
[1/12/2025, 18:14:27] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .menu 
[1/12/2025, 18:23:31] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .reload 
[1/12/2025, 18:23:42] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg 
[1/12/2025, 18:25:12] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .reload 
[1/12/2025, 18:25:38] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg help
[1/12/2025, 18:25:58] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg 
[1/12/2025, 18:27:28] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .reload 
[1/12/2025, 18:27:36] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg 
[1/12/2025, 18:28:05] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg 
[1/12/2025, 18:28:35] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg start
[1/12/2025, 18:28:54] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg start dark_elf
[1/12/2025, 18:29:15] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg start dark_elf
[1/12/2025, 18:30:21] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mute @139049750757567
[1/12/2025, 18:31:45] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .reload 
[1/12/2025, 18:32:37] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .unmute @139049750757567
[1/12/2025, 18:33:25] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg start dark_elf
[1/12/2025, 18:34:03] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg start dark_elf
[1/12/2025, 18:34:14] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg perfil
[1/12/2025, 18:34:35] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg start dark_elf
[1/12/2025, 18:34:42] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg perfil
[1/12/2025, 18:35:52] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg 
[1/12/2025, 18:36:02] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg start
[1/12/2025, 18:36:14] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:36:33] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:36:36] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:36:39] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:36:45] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:36:49] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg atacar
[1/12/2025, 18:36:58] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg curar
[1/12/2025, 18:37:02] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:37:06] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:37:15] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg atacar
[1/12/2025, 18:37:24] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg curar
[1/12/2025, 18:37:26] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg aventura
[1/12/2025, 18:37:39] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:37:49] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg atacar
[1/12/2025, 18:37:51] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:37:57] 👤 🕷️🐈‍⬛ (210801289871581) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg curar
[1/12/2025, 18:38:23] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:38:29] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg atacar
[1/12/2025, 18:38:38] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg curar
[1/12/2025, 18:38:42] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg curar
[1/12/2025, 18:38:58] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg explorar
[1/12/2025, 18:44:26] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .reload 
[1/12/2025, 18:47:37] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg 
[1/12/2025, 18:48:48] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg help
[1/12/2025, 18:49:08] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .reload 
[1/12/2025, 18:49:16] 👤 B2F (97852307026020) | 🏠 🤖SIRI BOT 🤖 | 💻 .rpg 
[1/12/2025, 18:49:51] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg 
[1/12/2025, 18:51:51] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mute @144268589035668
[1/12/2025, 18:52:08] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mute @97852307026020
[1/12/2025, 18:52:18] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .unmute @97852307026020
[1/12/2025, 18:58:11] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .work puta
[1/12/2025, 18:58:17] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .work ceo
[1/12/2025, 18:58:28] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .roulette 9125
[1/12/2025, 19:04:03] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mute @259863120715836
[1/12/2025, 19:04:39] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mute @97852307026020
[1/12/2025, 19:04:48] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .unmute @97852307026020
[1/12/2025, 19:04:54] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .unmute @259863120715836
[1/12/2025, 19:05:02] 👤 Gustabo Garcia (259863120715836) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mute @152119252390062
[1/12/2025, 19:05:49] 👤 Gustabo Garcia (259863120715836) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .unmute @152119252390062
[1/12/2025, 19:07:41] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .roulette 
[1/12/2025, 19:12:06] 👤 guille~ (139049750757567) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .menu 
[1/12/2025, 19:12:25] 👤 guille~ (139049750757567) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .ia cuantas pajas me puedo hacer sin morirme
[1/12/2025, 19:33:10] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .sticker 
[1/12/2025, 19:37:46] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .work puta
[1/12/2025, 19:38:37] 👤 Gustabo Garcia (259863120715836) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .kick @152119252390062
[1/12/2025, 19:43:35] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .sticker 
[1/12/2025, 19:59:22] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .deposit all
[1/12/2025, 19:59:34] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .economy 
[1/12/2025, 19:59:41] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .claim 
[1/12/2025, 19:59:51] 👤 Niñita🧸♥️👸🏻 (199681804075134) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .claim 
[1/12/2025, 19:59:54] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .bal 
[1/12/2025, 20:00:16] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .top 
[1/12/2025, 20:03:48] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mine 
[1/12/2025, 20:04:12] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .work hacker
[1/12/2025, 20:04:19] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .deposit all
[1/12/2025, 20:04:54] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .work ceo
[1/12/2025, 20:05:10] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .buy pico
[1/12/2025, 20:05:15] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .mine 
[1/12/2025, 20:05:22] 👤 🎄 (263925891383340) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .deposit all
[1/12/2025, 20:05:48] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .work puta
[1/12/2025, 20:05:56] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .roulette 1071
[1/12/2025, 20:06:01] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .dep all
[1/12/2025, 20:06:30] 👤 B2F (97852307026020) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .rpg 
[1/12/2025, 20:06:36] 👤 Janire🌻 (152119252390062) | 🏠 ꧁☬☠︎SURFERS OF MADRID☠︎☬꧂📍 | 💻 .withdraw 600
